id,red,green,blue,barony,county,duchy,kingdom,empire,terrain,culture,religion,holding,map red,map green,map blue
837,84,168,146,Cadell,Cadell,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,31,188
838,126,171,19,Cadell,Cadell,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,30,188
839,168,174,147,Cadell,Cadell,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,29,188
840,0,177,20,Wakool,Wakool,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,28,188
841,42,180,148,Wakool,Wakool,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,27,188
842,84,183,21,Wakool,Wakool,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,26,188
843,126,186,149,Wakool,Wakool,Wakool,Riverina,New South Wales,plains,muruwari,tersian,auto,49,25,188
844,168,189,22,Grey,Grey,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,8,8
845,0,192,150,Grey,Grey,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,9,8
846,42,195,23,Robe,Robe,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,10,8
847,84,198,151,Robe,Robe,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,11,8
848,0,3,225,MacDonnell,MacDonnell,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,12,8
849,126,201,24,MacDonnell,MacDonnell,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,13,8
850,168,96,42,Coorong,Coorong,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,14,8
851,84,9,226,Coorong,Coorong,Limestone Coast,Outback,South Australia,plains,aussie,tersian,auto,191,15,8
852,85,84,11,Ngarkat,Ngarkat,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,16,8
853,127,87,139,Ngarkat,Ngarkat,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,17,8
854,169,90,12,Ngarkat,Ngarkat,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,18,8
855,126,135,84,Chandos,Chandos,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,19,8
856,168,138,212,Chandos,Chandos,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,20,8
857,0,141,85,Chandos,Chandos,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,21,8
858,42,144,213,Coneybeer,Coneybeer,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,22,8
859,84,147,86,Coneybeer,Coneybeer,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,23,8
860,126,150,214,Coneybeer,Coneybeer,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,24,8
861,168,153,87,Coneybeer,Coneybeer,Murraylands,Outback,South Australia,plains,aussie,tersian,auto,191,25,8
862,0,156,215,Alexandrina,Alexandrina,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,0,212,134
863,42,159,88,Alexandrina,Alexandrina,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,1,212,134
864,84,162,216,Alexandrina,Alexandrina,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,2,212,134
865,126,165,89,Murray Bridge,Murray Bridge,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,3,212,134
866,168,168,217,Murray Bridge,Murray Bridge,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,4,212,134
867,0,171,90,Murray Bridge,Murray Bridge,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,5,212,134
868,42,174,218,Hindmarsh,Hindmarsh,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,6,212,134
869,84,177,91,Hindmarsh,Hindmarsh,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,7,212,134
870,126,180,219,Hindmarsh,Hindmarsh,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,8,212,134
871,168,183,92,Kangaroo Island,Kangaroo Island,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,9,212,134
872,0,186,220,Kangaroo Island,Kangaroo Island,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,10,212,134
873,42,189,93,Kangaroo Island,Kangaroo Island,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,11,212,134
874,84,192,221,Kangaroo Island,Kangaroo Island,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,12,212,134
875,126,195,94,Kangaroo Island,Kangaroo Island,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,13,212,134
876,168,198,222,Adelaide,Adelaide,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,14,212,134
877,0,201,95,Adelaide,Adelaide,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,15,212,134
878,42,204,223,Adelaide,Adelaide,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,16,212,134
879,84,207,96,Adelaide,Adelaide,Adelaide,Gulfs,South Australia,plains,aussie,tersian,auto,17,212,134
880,126,210,224,Ferguson,Ferguson,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,18,212,134
881,168,0,97,Ferguson,Ferguson,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,19,212,134
882,168,123,82,Ferguson,Ferguson,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,20,212,134
883,126,120,209,Ferguson,Ferguson,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,21,212,134
884,126,3,154,Ferguson,Ferguson,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,22,212,134
885,84,117,81,Daly,Daly,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,23,212,134
886,168,15,227,Daly,Daly,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,24,212,134
887,1,18,0,Daly,Daly,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,25,212,134
888,43,21,128,Gawler,Gawler,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,26,212,134
889,85,24,1,Gawler,Gawler,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,27,212,134
890,127,27,129,Light,Light,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,28,212,134
891,169,30,2,Eyre,Eyre,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,29,212,134
892,1,33,130,Eyre,Eyre,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,30,212,134
893,43,36,3,Eyre,Eyre,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,31,212,134
894,43,96,13,Albert,Albert,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,213,8
895,127,42,4,Albert,Albert,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,214,8
896,169,45,132,Albert,Albert,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,215,8
897,1,48,5,Alfred,Alfred,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,216,8
898,43,51,133,Alfred,Alfred,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,217,8
899,1,93,140,Alfred,Alfred,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,218,8
900,127,57,134,Hamley,Hamley,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,219,8
901,169,60,7,Hamley,Hamley,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,220,8
902,1,63,135,Hamley,Hamley,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,221,8
903,43,66,8,Yung,Yung,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,222,8
904,85,69,136,Yung,Yung,Riverlands,Outback,South Australia,plains,aussie,tersian,auto,191,223,8
905,127,72,9,Burra,Burra,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,192,212,134
906,169,75,137,Burra,Burra,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,193,212,134
907,1,78,10,Burra,Burra,Clare Valley,Gulfs,South Australia,plains,aussie,tersian,auto,194,212,134
908,84,132,211,Stanley,Stanley,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,195,212,134
909,0,126,210,Stanley,Stanley,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,196,212,134
910,42,129,83,Stanley,Stanley,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,197,212,134
911,0,207,25,Victoria,Victoria,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,198,212,134
912,84,0,26,Victoria,Victoria,Yorke,Gulfs,South Australia,plains,aussie,tersian,auto,199,212,134
913,126,48,34,Kimberley,Kimberley,Barrier,Outback,South Australia,plains,aussie,tersian,auto,191,213,8
914,84,45,161,Kimberley,Kimberley,Barrier,Outback,South Australia,plains,aussie,tersian,auto,191,214,8
915,85,39,131,Herbert,Herbert,Barrier,Outback,South Australia,plains,aussie,tersian,auto,191,215,8
916,126,105,79,Herbert,Herbert,Barrier,Outback,South Australia,plains,aussie,tersian,auto,191,216,8
917,42,99,78,Yongala,Yongala,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,192,212,134
918,168,93,77,Yongala,Yongala,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,193,212,134
919,126,90,204,Frome,Frome,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,194,212,134
920,85,99,141,Frome,Frome,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,195,212,134
921,127,102,14,Frome,Frome,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,196,212,134
922,169,105,142,Newcastle,Newcastle,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,197,212,134
923,1,108,15,Newcastle,Newcastle,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,198,212,134
924,43,111,143,Newcastle,Newcastle,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,199,212,134
925,85,114,16,Granville,Granville,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,200,212,134
926,127,117,144,Granville,Granville,Remarkable,Gulfs,South Australia,plains,aussie,tersian,auto,201,212,134
927,17,40,240,Lytton,Lytton,Barrier,Outback,South Australia,plains,aussie,tersian,auto,191,213,8
928,169,120,17,Lytton,Lytton,Barrier,Outback,South Australia,plains,aussie,tersian,auto,191,214,8
929,1,123,145,Derby,Derby,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,215,8
930,43,126,18,Derby,Derby,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,216,8
931,85,129,146,Derby,Derby,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,217,8
932,127,132,19,Hanson,Hanson,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,218,8
933,169,132,182,Hanson,Hanson,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,219,8
934,1,135,55,Hanson,Hanson,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,220,8
935,43,138,183,Blachford,Blachford,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,221,8
936,42,39,68,Blachford,Blachford,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,222,8
937,84,42,196,Blachford,Blachford,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,223,8
938,126,45,69,Manchester,Manchester,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,192,212,134
939,168,48,197,Manchester,Manchester,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,193,212,134
940,0,51,70,Manchester,Manchester,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,194,212,134
941,42,54,198,York,York,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,195,212,134
942,0,54,35,York,York,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,196,212,134
943,42,18,3,York,York,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,197,212,134
944,168,63,72,Jervois,Jervois,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,198,212,134
945,0,66,200,Jervois,Jervois,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,199,212,134
946,42,69,73,Jervois,Jervois,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,200,212,134
947,84,72,201,Jervois,Jervois,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,201,212,134
948,126,75,74,Jervois,Jervois,West Spencer,Gulfs,South Australia,plains,aussie,tersian,auto,202,212,134
949,168,78,202,Jussieu,Jussieu,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,3,87
950,0,81,75,Jussieu,Jussieu,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,4,87
951,42,84,203,Jussieu,Jussieu,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,5,87
952,0,96,205,Jussieu,Jussieu,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,6,87
953,84,180,56,Jussieu,Jussieu,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,7,87
954,126,183,184,Musgrave,Musgrave,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,8,87
955,126,33,159,Musgrave,Musgrave,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,9,87
956,84,15,156,Musgrave,Musgrave,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,10,87
957,168,204,152,Musgrave,Musgrave,Lower Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,11,87
958,42,132,48,Calpatanna,Calpatanna,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,12,87
959,84,135,176,Calpatanna,Calpatanna,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,13,87
960,168,171,182,Calpatanna,Calpatanna,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,14,87
961,168,141,177,Dufferin,Dufferin,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,15,87
962,0,144,50,Dufferin,Dufferin,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,16,87
963,42,147,178,Dufferin,Dufferin,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,17,87
964,84,150,51,Dufferin,Dufferin,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,18,87
965,126,153,179,Way,Way,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,19,87
966,168,156,52,Way,Way,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,20,87
967,0,159,180,Way,Way,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,21,87
968,42,162,53,Kintore,Kintore,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,22,87
969,84,87,76,Kintore,Kintore,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,23,87
970,168,21,157,Hopetoun,Hopetoun,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,24,87
971,126,90,149,Hopetoun,Hopetoun,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,25,87
972,168,108,207,Hopetoun,Hopetoun,West Eyre,Eyrelands,South Australia,plains,aussie,tersian,auto,150,26,87
973,126,78,39,Taunton,Taunton,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,27,8
974,42,27,158,Taunton,Taunton,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,28,8
975,126,168,54,Taunton,Taunton,Flinders Ranges,Outback,South Australia,plains,aussie,tersian,auto,191,29,8
976,42,210,153,Ikara Flinders,Ikara,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,30,8
977,168,36,32,Barndioota,Ikara,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,31,8
978,0,39,160,Dead Range,Ikara,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,32,8
979,0,111,80,Mulyungarie,Mulyungarie,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,33,8
980,42,12,28,Kalkaroo,Mulyungarie,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,34,8
981,0,9,155,Bimbowrie,Yunta,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,35,8
982,168,51,162,Yunta,Yunta,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,36,8
983,42,114,208,Oodla Wirra,Yunta,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,37,8
984,42,57,163,Pualco Range,Yunta,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,38,8
985,84,60,36,Cockburn,Cockburn,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,39,8
986,126,63,164,Rocky Dam,Cockburn,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,40,8
987,168,66,37,Parnaroo,Parnaroo,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,41,8
988,0,69,165,Pine,Parnaroo,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,42,8
989,42,72,38,Gluepot,Parnaroo,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,43,8
990,84,75,166,Danggali,Danggali,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,44,8
991,42,6,98,Calperum Station,Danggali,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,45,8
992,168,81,167,Chowilla,Danggali,Route 32,Outback,South Australia,plains,aussie,tersian,auto,191,46,8
993,0,84,40,Epsilon,Great Southern Cross,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,255
994,42,87,168,Omicron,Great Southern Cross,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,254
995,84,90,41,Bransby,Warri Gate,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,253
996,126,93,169,Naryilco,Warri Gate,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,252
997,126,12,99,Warri Gate,Warri Gate,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,251
998,0,99,170,Bulloo Downs,Bulloo Downs,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,250
999,42,102,43,Opopah,Bulloo Downs,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,249
1000,84,105,171,Yakara,Kilcowera,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,248
1001,126,108,44,Kilcowera,Kilcowera,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,247
1002,168,111,172,Yandora,Currawinya,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,246
1003,0,114,45,Wittenburra,Currawinya,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,245
1004,42,117,173,Hungerford,Currawinya,Currawinya,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,244
1005,84,120,46,Wooroorooka,Wooroorooka,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,243
1006,126,123,174,Kungie Lake,Wooroorooka,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,242
1007,168,126,47,Cunnamulla,Cunnamulla,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,241
1008,0,129,175,Noorama,Cunnamulla,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,240
1009,168,6,27,Widgeegoara,Culgoa,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,239
1010,126,18,29,Culgoa,Culgoa,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,238
1011,42,42,33,Woolerina,Dirranbandi,Dirranbandi,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,237
1012,84,57,71,Dirranbandi,Dirranbandi,Dirranbandi,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,236
1013,126,60,199,Hebel,Dirranbandi,Dirranbandi,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,235
1014,0,24,30,St George,St George,Moonie,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,234
1015,42,177,183,Thallon,St George,Moonie,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,233
1016,0,174,55,Thornby,Weengallon,Moonie,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,232
1017,84,30,31,Weengallon,Weengallon,Moonie,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,231
1018,85,54,6,Toobeeh,Goondiwindi,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,255,170,114
1019,84,165,181,Bungunya,Goondiwindi,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,254,170,114
1020,168,186,57,Goondiwindi,Goondiwindi,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,253,170,114
1021,0,189,185,Wyaga,Inglewood,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,252,170,114
1022,42,192,58,Inglewood,Inglewood,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,251,170,114
1023,84,195,186,Yelarbon,Inglewood,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,250,170,114
1024,126,198,59,Stanthorpe,Texas,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,249,170,114
1025,168,201,187,Pikedale,Texas,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,248,170,114
1026,0,204,60,Texas,Texas,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,247,170,114
1027,42,207,188,Warwick,Warwick,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,246,170,114
1028,84,210,61,Gore,Warwick,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,245,170,114
1029,126,0,189,Cill Arna,Warwick,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,244,170,114
1030,168,3,62,Kildare,Boonah,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,243,170,114
1031,0,6,190,Boonah,Boonah,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,242,170,114
1032,42,9,63,Rathdowney,Boonah,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,241,170,114
1033,84,12,191,Oxenford,Surfers Paradise,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,240,170,114
1034,126,15,64,Surfers Paradise,Surfers Paradise,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,239,170,114
1035,168,18,192,Beaudesert,Surfers Paradise,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,238,170,114
1036,0,21,65,Tweed Heads,Surfers Paradise,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,237,170,114
1037,42,24,193,Toogoolawah,Brisbane,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,236,170,114
1038,84,27,66,Caboolture,Brisbane,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,235,170,114
1039,169,135,147,Crows Nest,Brisbane,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,234,170,114
1040,1,138,20,Brisbane,Brisbane,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,233,170,114
1041,43,141,148,Beenleigh,Brisbane,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,232,170,114
1042,85,144,21,Oakey,Toowoomba,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,231,170,114
1043,127,147,149,Toowoomba,Toowoomba,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,230,170,114
1044,169,150,22,Gatton,Toowoomba,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,229,170,114
1045,1,153,150,Pittsworth,Toowoomba,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,228,170,114
1046,43,156,23,Clifton,Toowoomba,Brisbane,Gold Coast,Great Barrier,plains,aussie,tersian,auto,227,170,114
1047,85,159,151,Moonlo,Millmerran,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,226,170,114
1048,127,162,24,Millmerran,Millmerran,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,225,170,114
1049,169,165,152,Koorongara,Millmerran,Goondiwindi,Gold Coast,Great Barrier,plains,aussie,tersian,auto,224,170,114
1050,1,168,25,Hannaford,Southwood,Moonie,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,113
1051,43,171,153,Southwood,Southwood,Moonie,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,112
1052,85,174,26,Bollon,Bollon,Dirranbandi,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,111
1053,127,177,154,Honeymah,Bollon,Dirranbandi,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,110
1054,169,180,27,Corfu,Linden,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,109
1055,1,183,155,Linden,Linden,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,108
1056,43,186,28,Murra Murra,Linden,Paroo,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,107
1057,85,189,156,Mengalore,Wyandra,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,106
1058,127,192,29,Cullberry,Wyandra,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,105
1059,169,195,157,Wyandra,Wyandra,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,104
1060,1,198,30,Coongoola,Wyandra,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,103
1061,43,201,158,Nardoo,Wyandra,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,102
1062,85,204,31,Tibooroo,Eulo,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,101
1063,127,207,159,Eulo,Eulo,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,100
1064,169,210,32,Yowah,Yowah,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,99
1065,1,0,160,Bindegolly,Yowah,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,98
1066,43,3,33,Dynevor Downs,Yowah,Opal,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,97
1067,85,6,161,Thargomindah,Thargomindah,Thargomindah,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,96
1068,127,9,34,Thargomindah,Thargomindah,Thargomindah,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,95
1069,169,12,162,Thargomindah,Thargomindah,Thargomindah,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,94
1070,1,15,35,Nockatunga,Nockatunga,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,93
1071,43,18,163,Nockatunga,Nockatunga,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,92
1072,85,21,36,Nockatunga,Nockatunga,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,91
1073,127,24,164,Orientos,Orientos,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,90
1074,169,27,37,Orientos,Orientos,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,89
1075,1,30,165,Orientos,Orientos,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,88
1076,43,33,38,Cooper Creek,Cooper Creek,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,87
1077,85,36,166,Cooper Creek,Cooper Creek,Bulloo Dunefields,Mulga,Inner Queensland,plains,aussie,tersian,auto,162,160,86
